likes,about_post,date,type,comments,tagged_names
1900244.0, kiaraaliaadvani Verified 😍😍😍😍😍😍🥰🥰😘❤️🤗🤩🥺🥺💛💞🙏🏼🤣😂🙈🤩❤️🤗🥰😁😝 9w,AUGUST 1,video,2130.0, 
1504975.0, kiaraaliaadvani Verified IbelieveworkisimportantandI’mhappytoshareIndeed'smissionto helppeoplegetjobs.Ifyouhaveanyquestionsaboutfindingworkasktheminthecomments below.#IndeedHelps Togetherwestandabetterchancetocomeoutofthisstronger. 10w,JULY 28,video,2768.0,  @indeedworks.
746541.0," kiaraaliaadvani Verified Etchedinhistory&heartsforever.IPray&hopethatthecourageandbraveryofourIndianarmylivesonforeverwithineveryIndian.RememberingtheKargilWarhero,CaptainVikramBatra(PVC)today🙏🏼 13w",JULY 7,video,1246.0, 
1614810.0, kiaraaliaadvani Verified Makingthemostofeverysunset☀️ 13w,JULY 6,post,5555.0, 
651649.0, kiaraaliaadvani Verified madebyyourstruly💁🏻‍♀️👩🏻‍🍳🍪 14w,JUNE 30,post,2201.0, 
597680.0," kiaraaliaadvani Verified Jaldhiphootegayehbombaapkegharmein!Aanewalihain#LaxmmiBomb FirstdayFirstshow,fromthecomfortofyourhomes!Watch#LaxmmiBombon with     #TussharEntertainmentHouse#CapeOfGoodFilms ",JUNE 29,post,1735.0,  @DisneyPlusHotstarVIP @#DisneyPlusHotstarMultiplex.  akshaykumar @tusshark89 @offl_lawrence @shabskofficial @foxstarhindi @zeemusiccompany 14w
598985.0, kiaraaliaadvani Verified 🦄 14w,JUNE 27,post,1358.0, 
1093698.0," kiaraaliaadvani Verified Imissmygirlfriendssososomuch.IwishIcoulddriveoverandmeetthembutwe’renotriskingit.Thisisanappreciationpostforthegirlsthatmakeeverydayalittlemorespecial.Thereisprobablynothingwecan’tsharewitheachother.Wemetinschool,endedupinthesamecollegeafterfourweddingsand3differenttimezones,herewearestilleachotherssoulmates.#AShoutoutTotheGirls💕 14w",JUNE 26,post,1810.0, 
1543463.0," kiaraaliaadvani Verified DearKabirSingh, Happyanniversary! Lovealways, Preeti❤️ 15w",JUNE 21,post,6826.0, 
1387020.0, kiaraaliaadvani Verified He’salwaysgotmybackandI’vealwaysgothis#daddysgirlforeverHappyBirthdaypapa!❤️ 15w,JUNE 18,post,2742.0, 
2863720.0, kiaraaliaadvani Verified Sushant💔 16w,JUNE 14,post,9892.0, 
898088.0," kiaraaliaadvani Verified #Throwbackto6yearsagowhereitallbegan🤩🎥🎞🎬🥰🙏🏼Myveryfirstfilmwillalwaysbesosospecial..sogratefulfor#fugly Sir         theentireteamandallthefanswhohavebeenapartofmyjourneyfromtheverystart,Iloveyouall❤️ 16w",JUNE 13,post,1345.0,  @akshaykumar @ashviniyardi @k_sadanand @mohitmarwah @singhvijender @arfilamba @mansha_bahl @jimmysheirgill @sanchitatrivedi @archsada
1885958.0," kiaraaliaadvani Verified Allthelove,Karan,JanhviandSharan❤️Can’twait!  GunjanSaxena-#TheKargilGirl,comingsoononNetflix.            ",JUNE 9,video,445.0,  @#GunjanSaxenaOnNetflix dharmamovies @zeestudiosofficial @karanjohar @apoorva1972 @janhvikapoor @pankajtripathi @angadbedi @itsviineetkumar @manavvij @sharansharma @netflix_in @zeemusiccompany 17w
798429.0, kiaraaliaadvani Verified TheRaysOfHope🙏🏼 17w,JUNE 3,post,9892.0, 
1823625.0, kiaraaliaadvani Verified Makeallyourelectricitybillpaymenthasslesathingofthepastandmoveontoasimple&convenientway!AllyouneedtodoisstartmakingyourpaymentsviaanyBharatBillPayenableddigitalchannel.#BharatBillPay#BeAssured ,JUNE 1,video,1345.0,  @bharatbillpay_ 18w
2618707.0,  basthodetakkar....baakisabfirstclass😅#FlashBackFriday#RehearsalBloopers 18w,MAY 29,video,445.0,  @kiaraaliaadvani Verified varundvn
1932588.0, kiaraaliaadvani Verified ItakealotofprideinwhoIpartnerwith.Indeed'smissionistohelppeoplegetjobsandI’mhappytosharethiswithyou.Ifyou’relookingforajobgotoIndeed.comtofindone #IndeedHelps ,MAY 27,video,1441.0,  @indeedworks 18w
2354836.0," kiaraaliaadvani Verified 👩‍👧  MymumandIgettogethertoansweraseriesofquestionswith thisMother’sDay!Pond’sandIwishallyoumothersagreatday!We’rethankfulforyouallday,everyday!#PondsIndia 21w",MAY 10,video,1626.0,  @pondsindia
1390562.0, kiaraaliaadvani Verified TheGreatRealisation 22w,MAY 2,video,2019.0, 
1622494.0, kiaraaliaadvani Verified Hey Thankyou!!!thisistooooooocoolandyouaresotalented❤️🥰😘☺️ 23w,APRIL 26,video,2083.0,  @anushka_aura
2936788.0," kiaraaliaadvani Verified “Mummy,I’mfedupofwaitingbecauseIfeellikegoing”Mymentalstaterightnow🙃but...nobody’sgoinout!Homesweethome!😇#thewonderyears🌈 23w",APRIL 23,video,1779.0, 
2404056.0, kiaraaliaadvani Verified WhenmomthoughtIwouldjointheBolshoiballetbutIchoseBollywoodinstead💁🏻‍♀️#thewonderyears🌈👯‍♀️👧🏼🥰 23w,APRIL 22,video,694.0, 
1461602.0," kiaraaliaadvani Verified #thewonderyears🍼🌈🍭🧸doodhkadoodh,paanikapaani..andmyobsessionwithCinderella👧🏼 24w",APRIL 21,video,1243.0, 
258833.0, kiaraaliaadvani Verified 💛 25w,APRIL 12,post,2004.0, 
1047306.0, kiaraaliaadvani Verified HappySiblingDay squishyformishyforever❤️😘 25w,APRIL 11,post,1375.0,  @mishaaladvani
2233911.0, kiaraaliaadvani Verified Bingewatchingmywaythrough#Lockdownblueswith bymyside!Anyinterestingshowsormoviesthatyou’vebeenbingingonplsshareinthecommentsbelow🤓😁❤️ #stayhomestaysafe#boAtheadStayINsane#kiaraStaySane🤪 25w,APRIL 9,video,1573.0,  @boat.nirvana
1484380.0, kiaraaliaadvani Verified Weareallinthistogetherandwewillallcomeoutofthistogethertoo❤️ 26w,APRIL 7,video,1363.0, 
1390153.0, kiaraaliaadvani Verified ThissonghasallkindsofMagic!🙏🏼❤️  Presenting#MuskurayegaIndia–asongof   #CapeOfGoodFilms ,APRIL 6,video,1390.0,  @unity. akshaykumar @jackkybhagnani @vishalmishraofficial @jjustmusicofficial 26w
1123434.0, kiaraaliaadvani Verified Saturdaynightplan!💃🏻🏠✌🏻 27w,MARCH 28,post,1573.0, 
878407.0," kiaraaliaadvani Verified StayClassy,staychic,staycosmopolitanATHOME❤️staysafe!#socialdistancing101📸 ",MARCH 22,post,1363.0,  @taras84 28w
2848703.0, kiaraaliaadvani Verified Mykindacosmos📖..cheersinisolation❣️#socialdistancing101💁🏻‍♀️Editor:NandiniBhalla ZunailiMalik Videographer:SantoshMishra Editor:SanyamPurohit HiralBhatia LekhaGupta Courtesy:CottonsandSatins AnomalyProduction Publicist:SanchitaTrivedi IDHYAH ,MARCH 21,video,1390.0,"  @(nandinibhalla) Styling: @(zunailimalik) @(santoshmishraphotography) Video @(sanyampurohit) Hair: @(bbhiral) Makeup: @(makeupbylekha) Location @(cottonsandsatins) Production: @(anomalyproduction) Actors's @sanchitatrivedi, @idhyahmedia 28w"
503584.0," kiaraaliaadvani Verified ‪Hugegratitudeforalltheloveyouaregivingusfor#GuiltyOnNetflixandforappreciatingmyperformance.Overthemoonreadingallyourreviews,commentsandtweets!Humbled;Thankfulandgratefulforeachofyou🙏🏼❤️‬.Thiswouldnothavebeenpossiblewithout      Thankyouformakingthisfilm❤️💙💛 29w",MARCH 11,post,1619.0,  @karanjohar @apoorva1972 @dharmamovies @ruchinarain @somenmishra @netflix_in
