likes,about_post,date
"1,467,434 likes","ranveersingh
Verified
40 years of marriage! 😇♥️🙏🏽🧿 #purelove #happyanniversary
2w",SEPTEMBER 21
"1,045,730 likes","ranveersingh
Verified
Hitman SZN has returned! 🏏💥@rohitsharma45 Machawees, Bawa!
Lovin the #RS merch 🧢 ek number! 💯
#rohitsharma #ipl
2w",SEPTEMBER 19
0,"ranveersingh
Verified
Hitman SZN has returned! 🏏💥@rohitsharma45 Machawees, Bawa!
Lovin the #RS merch 🧢 ek number! 💯
#rohitsharma #ipl
2w",not known
