likes,about_post,date
"746,541 views","kiaraaliaadvani
Verified
Etched in history & hearts forever. I Pray & hope that the courage and bravery of our Indian army lives on forever within every Indian. Remembering the Kargil War hero, Captain Vikram Batra (PVC) today🙏🏼
13w",JULY 7
"1,614,810 likes","kiaraaliaadvani
Verified
Making the most of every sunset ☀️
13w",JULY 6
"651,649 likes","kiaraaliaadvani
Verified
made by yours truly 💁🏻‍♀️👩🏻‍🍳🍪
14w",JUNE 30
"597,680 likes","kiaraaliaadvani
Verified
Jald hi phootega yeh bomb aapke ghar mein! Aane wali hain #LaxmmiBomb
First day First show, from the comfort of your homes! Watch #LaxmmiBomb on @DisneyPlusHotstarVIP with #DisneyPlusHotstarMultiplex.

@akshaykumar @tusshark89 @offl_lawrence @shabskofficial @foxstarhindi #TussharEntertainmentHouse #CapeOfGoodFilms @zeemusiccompany
14w",JUNE 29
"598,985 likes","kiaraaliaadvani
Verified
🦄
14w",JUNE 27
"1,093,698 likes","kiaraaliaadvani
Verified
I miss my girlfriends so so so much. I wish I could drive over and meet them but we’re not risking it. This is an appreciation post for the girls that make every day a little more special. There is probably nothing we can’t share with each other. We met in school, ended up in the same college after four weddings and 3 different time zones, here we are still eachothers soul mates. #AShoutoutTotheGirls 💕
14w",JUNE 26
"1,543,463 likes","kiaraaliaadvani
Verified
Dear Kabir Singh,
Happy anniversary!
Love always,
Preeti ❤️
15w",JUNE 21
"1,387,020 likes","kiaraaliaadvani
Verified
He’s always got my back and I’ve always got his #daddysgirlforever Happy Birthday papa!❤️
15w",JUNE 18
"2,863,720 likes","kiaraaliaadvani
Verified
Sushant 💔
16w",JUNE 14
"898,088 likes","kiaraaliaadvani
Verified
#Throwback to 6 years ago where it all began 🤩🎥🎞🎬🥰🙏🏼 My very first film will always be so so special.. so grateful for #fugly @akshaykumar Sir @ashviniyardi @k_sadanand @mohitmarwah @singhvijender @arfilamba @mansha_bahl @jimmysheirgill @sanchitatrivedi @archsada the entire team and all the fans who have been a part of my journey from the very start, I love you all❤️
16w",JUNE 13
"1,885,958 views","kiaraaliaadvani
Verified
All the love, Karan, Janhvi and Sharan ❤️Can’t wait!

Gunjan Saxena - #TheKargilGirl, coming soon on Netflix. #GunjanSaxenaOnNetflix
@dharmamovies @zeestudiosofficial @karanjohar @apoorva1972 @janhvikapoor @pankajtripathi @angadbedi @itsviineetkumar @manavvij @sharansharma @netflix_in @zeemusiccompany
17w",JUNE 9
"798,429 likes","kiaraaliaadvani
Verified
The Rays Of Hope🙏🏼
17w",JUNE 3
"1,823,625 views","kiaraaliaadvani
Verified
Make all your electricity bill payment hassles a thing of the past and move on to a simple & convenient way! All you need to do is start making your payments via any BharatBillPay enabled digital channel. #BharatBillPay #BeAssured @bharatbillpay_
18w",JUNE 1
"2,618,707 views","kiaraaliaadvani
Verified
@varundvn bas thode takkar.... baaki sab first class 😅 #FlashBackFriday #RehearsalBloopers
18w",MAY 29
"1,932,588 views","kiaraaliaadvani
Verified
I take a lot of pride in who I partner with. Indeed's mission is to help people get jobs and I’m happy to share this with you. If you’re looking for a job go to Indeed.com to find one
#IndeedHelps @indeedworks
18w",MAY 27
"2,354,836 views","kiaraaliaadvani
Verified
👩‍👧

My mum and I get together to answer a series of questions with @pondsindia this Mother’s Day! Pond’s and I wish all you mothers a great day! We’re thankful for you all day, everyday! #PondsIndia
21w",MAY 10
"1,390,562 views","kiaraaliaadvani
Verified
The Great Realisation
22w",MAY 2
"1,622,494 views","kiaraaliaadvani
Verified
Hey @anushka_aura Thankyou!!! this is tooooooo cool and you are so talented ❤️🥰😘☺️
23w",APRIL 26
"2,936,788 views","kiaraaliaadvani
Verified
“Mummy, I’m fed up of waiting because I feel like going” My mental state right now🙃 but...nobody’s goin out! Home sweet home! 😇 #thewonderyears 🌈
23w",APRIL 23
"2,404,056 views","kiaraaliaadvani
Verified
When mom thought I would join the Bolshoi ballet but I chose Bollywood instead💁🏻‍♀️ #thewonderyears 🌈👯‍♀️👧🏼🥰
23w",APRIL 22
"1,461,602 views","kiaraaliaadvani
Verified
#thewonderyears 🍼🌈🍭🧸 doodh ka doodh, paani ka paani.. and my obsession with Cinderella 👧🏼
24w",APRIL 21
"258,833 likes","kiaraaliaadvani
Verified
💛
25w",APRIL 12
"1,047,306 likes","kiaraaliaadvani
Verified
Happy Sibling Day @mishaaladvani squishy for mishy forever❤️😘
25w",APRIL 11
"2,233,911 views","kiaraaliaadvani
Verified
Binge watching my way through #Lockdown blues with @boat.nirvana by my side! Any interesting shows or movies that you’ve been binging on pls share in the comments below 🤓😁❤️
#stayhomestaysafe #boAtheadStayINsane #kiaraStaySane 🤪
25w",APRIL 9
"1,484,380 views","kiaraaliaadvani
Verified
We are all in this together and we will all come out of this together too ❤️
26w",APRIL 7
"1,390,153 views","kiaraaliaadvani
Verified
This song has all kinds of Magic! 🙏🏼❤️

Presenting #MuskurayegaIndia – a song of unity.
@akshaykumar @jackkybhagnani @vishalmishraofficial #CapeOfGoodFilms @jjustmusicofficial
26w",APRIL 6
"1,123,434 likes","kiaraaliaadvani
Verified
Saturday night plan! 💃🏻🏠✌🏻
27w",MARCH 28
"878,407 likes","kiaraaliaadvani
Verified
Stay Classy, stay chic, stay cosmopolitan AT HOME ❤️ stay safe!#socialdistancing101 📸 @taras84
28w",MARCH 22
"2,848,703 views","kiaraaliaadvani
Verified
My kinda cosmos 📖.. cheers in isolation❣️ #socialdistancing101 💁🏻‍♀️Editor: Nandini Bhalla (@nandinibhalla)
Styling: Zunaili Malik (@zunailimalik) Videographer: Santosh Mishra (@santoshmishraphotography)
Video Editor: Sanyam Purohit (@sanyampurohit)
Hair: Hiral Bhatia (@bbhiral)
Makeup: Lekha Gupta (@makeupbylekha)
Location Courtesy: Cottons and Satins (@cottonsandsatins)
Production: Anomaly Production (@anomalyproduction)
Actors's Publicist : Sanchita Trivedi @sanchitatrivedi, IDHYAH @idhyahmedia
28w",MARCH 21
"503,584 likes","kiaraaliaadvani
Verified
‪Huge gratitude for all the love you are giving us for #GuiltyOnNetflix and for appreciating my performance. Over the moon reading all your reviews, comments and tweets! Humbled; Thankful and grateful for each of you 🙏🏼❤️‬. This would not have been possible without @karanjohar @apoorva1972 @dharmamovies @ruchinarain @somenmishra @netflix_in Thankyou for making this film ❤️💙💛
29w",MARCH 11
"789,561 likes","kiaraaliaadvani
Verified
#GuiltyOnNetflix
30w",MARCH 6
"863,732 likes","kiaraaliaadvani
Verified
Guilty Squad🤘🏻
31w",MARCH 2
"1,942,457 views","kiaraaliaadvani
Verified
Sharing ❤️ for #AngreziMedium #KudiNuNachneDe 🎶 @irrfan @homster #dineshvijan @maddockfilms @anaitashroffadajania @soulfulsachin @jigarsaraiya@soulfulsachin @jigarsaraiya
31w",MARCH 2
"5,981,465 views","kiaraaliaadvani
Verified
@homster @maddockfilms ❤️
31w",MARCH 2
"1,301,092 views","kiaraaliaadvani
Verified
Personal bias or being judgemental? Nanki will be #Guilty, no matter what happens. #GuiltyOnNetflix

@karanjohar @apoorva1972 @somenmishra @ruchinarain @akansharanjankapoor @gurfatehpirzada @itstahershabbir @dharmaticent @netflix_in
32w",FEBRUARY 24
"2,436,748 likes","kiaraaliaadvani
Verified
A leaf out of #DabbooRatnaniCalendar! @dabbooratnani @manishadratnani
33w",FEBRUARY 18
"4,303,382 views","kiaraaliaadvani
Verified
Guilty Or Not?

Guilty premieres March 6, only on @netflix_in. #GuiltyOnNetflix

@karanjohar @apoorva1972 @somenmishra @ruchinarain @akansharanjankapoor @gurfatehpirzada @itstahershabbir @dharmaticent
33w",FEBRUARY 18
"793,285 likes","kiaraaliaadvani
Verified
#Guilty. Trailer out tomorrow.⁣
⁣
@ruchinarain @apoorva1972 @karanjohar @netflix_in
33w",FEBRUARY 17
